Date,Price,Open,High,Low,Change %
2003/6/24,1.6631,1.6673,1.6711,1.6593,-0.29%
2003/6/25,1.6728,1.6631,1.6799,1.661,0.58%
2003/6/26,1.6604,1.6723,1.6739,1.6595,-0.74%
2003/6/27,1.6494,1.661,1.6633,1.6456,-0.66%
2003/6/30,1.6545,1.6493,1.6574,1.6455,0.31%
2003/7/1,1.6626,1.6553,1.6652,1.6514,0.49%
2003/7/2,1.6662,1.6623,1.6673,1.6601,0.22%
2003/7/3,1.6685,1.6654,1.6746,1.6604,0.14%
2003/7/4,1.6675,1.6696,1.6717,1.6648,-0.06%
2003/7/7,1.6486,1.6667,1.6684,1.6473,-1.13%
2003/7/8,1.6353,1.6481,1.65,1.6317,-0.81%
2003/7/9,1.6374,1.6343,1.6391,1.6273,0.13%
2003/7/10,1.6345,1.6375,1.6378,1.6218,-0.18%
2003/7/11,1.6309,1.634,1.6385,1.6294,-0.22%
2003/7/14,1.6136,1.6305,1.6305,1.6122,-1.06%
2003/7/15,1.5913,1.6079,1.6141,1.59,-1.38%
2003/7/16,1.5962,1.5917,1.5972,1.5852,0.31%
2003/7/17,1.5964,1.5971,1.5996,1.5847,0.01%
2003/7/18,1.5913,1.5968,1.5985,1.5823,-0.32%
2003/7/21,1.6005,1.5795,1.6024,1.578,0.58%
2003/7/22,1.5962,1.6004,1.6054,1.5947,-0.27%
2003/7/23,1.6071,1.5966,1.6105,1.5929,0.68%
2003/7/24,1.6162,1.6079,1.617,1.6056,0.57%
2003/7/25,1.6199,1.6159,1.624,1.6114,0.23%
2003/7/28,1.625,1.6201,1.6294,1.6172,0.31%
2003/7/29,1.6243,1.6252,1.6314,1.6213,-0.04%
2003/7/30,1.6164,1.6237,1.6256,1.6143,-0.49%
2003/7/31,1.6103,1.6166,1.6168,1.6048,-0.38%
2003/8/1,1.6109,1.6107,1.6124,1.6002,0.04%
2003/8/4,1.6113,1.6113,1.6117,1.6111,0.02%
2003/8/5,1.6155,1.6113,1.6164,1.602,0.26%
2003/8/6,1.6095,1.6151,1.6193,1.6037,-0.37%
2003/8/7,1.6185,1.6094,1.6188,1.6054,0.56%
2003/8/8,1.603,1.6174,1.6184,1.601,-0.96%
2003/8/11,1.6075,1.6035,1.6107,1.5981,0.28%
2003/8/12,1.6025,1.6076,1.6094,1.5989,-0.31%
2003/8/13,1.6079,1.6025,1.6099,1.5963,0.34%
2003/8/14,1.6,1.6069,1.614,1.5983,-0.49%
2003/8/15,1.597,1.6019,1.6038,1.5924,-0.19%
2003/8/18,1.5913,1.5976,1.5987,1.5875,-0.36%
2003/8/19,1.588,1.5903,1.5905,1.5807,-0.21%
2003/8/20,1.593,1.5877,1.597,1.5854,0.31%
2003/8/21,1.5785,1.5928,1.5945,1.5747,-0.91%
2003/8/22,1.5747,1.5781,1.5796,1.5701,-0.24%
2003/8/25,1.5692,1.5745,1.5793,1.5686,-0.35%
2003/8/26,1.569,1.5688,1.5747,1.5619,-0.01%
2003/8/27,1.5722,1.5694,1.5753,1.5667,0.20%
2003/8/28,1.5783,1.5705,1.5789,1.565,0.39%
2003/8/29,1.5775,1.5781,1.5831,1.5723,-0.05%
2003/9/1,1.5709,1.5789,1.5816,1.568,-0.42%
2003/9/2,1.5673,1.5705,1.5749,1.5619,-0.23%
2003/9/3,1.5716,1.5676,1.5765,1.5609,0.27%
2003/9/4,1.5824,1.5718,1.5827,1.5672,0.69%
2003/9/5,1.5886,1.5821,1.5911,1.5776,0.39%
2003/9/8,1.5829,1.5829,1.5829,1.5829,-0.36%
2003/9/9,1.5915,1.5829,1.593,1.5783,0.54%
2003/9/10,1.5922,1.5917,1.5949,1.5873,0.04%
2003/9/11,1.5948,1.5925,1.598,1.5899,0.16%
2003/9/12,1.6029,1.5953,1.6071,1.5905,0.51%
2003/9/15,1.6008,1.6044,1.6079,1.6,-0.13%
2003/9/16,1.5882,1.6012,1.6058,1.5852,-0.79%
2003/9/17,1.6101,1.5873,1.6107,1.5861,1.38%
2003/9/18,1.6174,1.6094,1.6218,1.6065,0.45%
2003/9/19,1.6361,1.6171,1.6378,1.614,1.16%
2003/9/22,1.6499,1.6473,1.6551,1.6415,0.84%
2003/9/23,1.6507,1.6484,1.6589,1.6456,0.05%
2003/9/24,1.6583,1.6498,1.6607,1.6471,0.46%
2003/9/25,1.6586,1.6585,1.6631,1.6525,0.02%
2003/9/26,1.6587,1.658,1.6629,1.6555,0.01%
2003/9/29,1.6663,1.6585,1.6677,1.6451,0.46%
2003/9/30,1.6613,1.6672,1.6764,1.6586,-0.30%
2003/10/1,1.6692,1.6616,1.6696,1.6532,0.48%
2003/10/2,1.67,1.6696,1.6753,1.6639,0.05%
2003/10/3,1.6639,1.6688,1.6738,1.6582,-0.37%
2003/10/6,1.6695,1.6606,1.6763,1.6583,0.34%
2003/10/7,1.6635,1.6702,1.678,1.661,-0.36%
2003/10/8,1.6626,1.6626,1.6676,1.6587,-0.05%
2003/10/9,1.6665,1.6634,1.6697,1.6563,0.23%
2003/10/10,1.6648,1.666,1.6724,1.6603,-0.10%
2003/10/13,1.6664,1.664,1.6687,1.6532,0.10%
2003/10/14,1.6722,1.6668,1.6769,1.6533,0.35%
2003/10/15,1.6671,1.6738,1.6768,1.6637,-0.30%
2003/10/16,1.6736,1.6665,1.6818,1.6658,0.39%
2003/10/17,1.6786,1.6736,1.6789,1.6676,0.30%
2003/10/20,1.6704,1.6797,1.6816,1.67,-0.49%
2003/10/21,1.6752,1.6706,1.678,1.6689,0.29%
2003/10/22,1.6915,1.6755,1.6944,1.6732,0.97%
2003/10/23,1.6965,1.6949,1.6984,1.6946,0.30%
2003/10/24,1.6953,1.695,1.6997,1.6932,-0.07%
2003/10/27,1.6957,1.6947,1.6978,1.6907,0.02%
2003/10/28,1.6968,1.6953,1.7002,1.6876,0.06%
2003/10/29,1.6985,1.6965,1.7085,1.696,0.10%
2003/10/30,1.6959,1.698,1.7075,1.6951,-0.15%
2003/10/31,1.6957,1.6951,1.6997,1.6904,-0.01%
2003/11/3,1.6765,1.6956,1.6981,1.6757,-1.13%
2003/11/4,1.6808,1.6763,1.6846,1.6673,0.26%
2003/11/5,1.6738,1.6803,1.6873,1.67,-0.42%
2003/11/6,1.6687,1.6738,1.6785,1.6644,-0.30%
2003/11/7,1.6744,1.6676,1.6746,1.6566,0.34%
2003/11/10,1.6717,1.6739,1.676,1.6704,-0.16%
2003/11/11,1.665,1.6707,1.6713,1.6635,-0.40%
2003/11/12,1.6736,1.665,1.6789,1.6648,0.52%
2003/11/13,1.6862,1.6736,1.689,1.6732,0.75%
2003/11/14,1.6877,1.6862,1.6917,1.6824,0.09%
2003/11/17,1.6917,1.688,1.6942,1.6861,0.24%
2003/11/18,1.7029,1.6914,1.7055,1.6858,0.66%
2003/11/19,1.6984,1.7041,1.7059,1.6951,-0.26%
2003/11/20,1.7043,1.6977,1.7086,1.6961,0.35%
2003/11/21,1.7033,1.7042,1.7073,1.6996,-0.06%
2003/11/24,1.6961,1.7048,1.706,1.6928,-0.42%
2003/11/25,1.6982,1.6963,1.7024,1.6936,0.12%
2003/11/26,1.7129,1.6988,1.7131,1.6946,0.87%
2003/11/27,1.714,1.7127,1.716,1.709,0.06%
2003/11/28,1.7224,1.7136,1.7243,1.713,0.49%
2003/12/1,1.7182,1.7205,1.7277,1.718,-0.24%
2003/12/2,1.7303,1.7193,1.7313,1.7167,0.70%
2003/12/3,1.7274,1.7302,1.732,1.7246,-0.17%
2003/12/4,1.723,1.7279,1.7292,1.7177,-0.25%
2003/12/5,1.7288,1.7221,1.732,1.7193,0.34%
2003/12/8,1.7337,1.7296,1.7366,1.7268,0.28%
2003/12/9,1.7473,1.7334,1.7475,1.7329,0.78%
2003/12/10,1.7431,1.7467,1.748,1.7351,-0.24%
2003/12/11,1.7443,1.7434,1.7473,1.7371,0.07%
2003/12/12,1.7467,1.7452,1.7512,1.7428,0.14%
2003/12/15,1.7456,1.7365,1.7483,1.7356,-0.06%
2003/12/16,1.7538,1.7469,1.756,1.7432,0.47%
2003/12/17,1.766,1.7538,1.77,1.7492,0.70%
2003/12/18,1.7734,1.7665,1.7746,1.7631,0.42%
2003/12/19,1.7658,1.7727,1.7743,1.7613,-0.43%
2003/12/22,1.7628,1.766,1.7673,1.7597,-0.17%
2003/12/23,1.7632,1.7634,1.7672,1.7624,0.02%
2003/12/24,1.7752,1.7635,1.7764,1.763,0.68%
2003/12/25,1.772,1.775,1.7761,1.772,-0.18%
2003/12/26,1.7714,1.7722,1.7763,1.7698,-0.03%
2003/12/29,1.7727,1.7717,1.7772,1.77,0.07%
2003/12/30,1.7779,1.7727,1.782,1.7719,0.29%
2003/12/31,1.7857,1.7764,1.7946,1.7764,0.44%
2004/1/1,1.7823,1.7859,1.7885,1.782,-0.19%
2004/1/2,1.7924,1.783,1.7949,1.7786,0.57%
2004/1/5,1.8064,1.7919,1.8104,1.7917,0.78%
2004/1/6,1.822,1.8049,1.8279,1.8043,0.86%
2004/1/7,1.8185,1.8222,1.8262,1.8122,-0.19%
2004/1/8,1.8333,1.8177,1.8369,1.8107,0.81%
2004/1/9,1.8491,1.8335,1.8496,1.8276,0.86%
2004/1/12,1.847,1.847,1.8582,1.8451,-0.11%
2004/1/13,1.8463,1.8468,1.8538,1.8401,-0.04%
2004/1/14,1.8319,1.847,1.8492,1.8314,-0.78%
2004/1/15,1.822,1.833,1.8351,1.8178,-0.54%
2004/1/16,1.7981,1.8222,1.8268,1.7932,-1.31%
2004/1/19,1.7833,1.7964,1.8023,1.7825,-0.82%
2004/1/20,1.8201,1.7835,1.8218,1.7822,2.06%
2004/1/21,1.831,1.8202,1.8374,1.8148,0.60%
2004/1/22,1.8451,1.8316,1.8482,1.831,0.77%
2004/1/23,1.826,1.827,1.8272,1.8256,-1.04%
2004/1/26,1.8146,1.827,1.831,1.8106,-0.62%
2004/1/27,1.8276,1.8144,1.8293,1.8019,0.72%
2004/1/28,1.8217,1.8277,1.8385,1.8171,-0.32%
2004/1/29,1.8163,1.8211,1.827,1.8085,-0.30%
2004/1/30,1.8236,1.8167,1.8264,1.8059,0.40%
2004/2/2,1.8197,1.8232,1.8272,1.8135,-0.21%
2004/2/3,1.8382,1.8199,1.8426,1.8192,1.02%
2004/2/4,1.8317,1.839,1.8405,1.8283,-0.35%
2004/2/5,1.833,1.8325,1.8429,1.8305,0.07%
2004/2/6,1.8469,1.8335,1.8521,1.8318,0.76%
2004/2/9,1.8584,1.8428,1.863,1.842,0.62%
2004/2/10,1.871,1.8605,1.8738,1.8579,0.68%
2004/2/11,1.8918,1.8683,1.8925,1.8645,1.11%
2004/2/12,1.8921,1.8909,1.8954,1.8877,0.02%
2004/2/13,1.8857,1.8927,1.8989,1.8786,-0.34%
2004/2/16,1.8906,1.8849,1.892,1.8813,0.26%
2004/2/17,1.9047,1.8903,1.9085,1.8868,0.75%
2004/2/18,1.8865,1.9054,1.9145,1.884,-0.96%
2004/2/19,1.8938,1.8897,1.8984,1.8865,0.39%
2004/2/20,1.8602,1.8943,1.9002,1.8566,-1.77%
2004/2/23,1.867,1.8593,1.8708,1.846,0.37%
2004/2/24,1.8908,1.8676,1.8939,1.8626,1.27%
2004/2/25,1.8708,1.8908,1.8948,1.8691,-1.06%
2004/2/26,1.8618,1.8709,1.8781,1.855,-0.48%
2004/2/27,1.8679,1.8633,1.8689,1.8463,0.33%
2004/3/1,1.8676,1.8685,1.875,1.8641,-0.02%
2004/3/2,1.8406,1.8704,1.8707,1.8351,-1.45%
2004/3/3,1.8308,1.8394,1.8415,1.8155,-0.53%
2004/3/4,1.8239,1.831,1.8377,1.8197,-0.38%
2004/3/5,1.8463,1.823,1.8501,1.8174,1.23%
2004/3/8,1.8498,1.8485,1.8548,1.8417,0.19%
2004/3/9,1.8253,1.8498,1.8588,1.8222,-1.32%
2004/3/10,1.805,1.8261,1.8287,1.7961,-1.11%
2004/3/11,1.8126,1.8033,1.8135,1.7926,0.42%
2004/3/12,1.8035,1.8115,1.8142,1.7904,-0.50%
2004/3/15,1.806,1.7975,1.8121,1.7944,0.14%
2004/3/16,1.8117,1.8049,1.8199,1.8001,0.32%
2004/3/17,1.8163,1.8125,1.8184,1.8066,0.25%
2004/3/18,1.8331,1.8165,1.8403,1.8156,0.92%
2004/3/19,1.8327,1.8343,1.8372,1.8257,-0.02%
2004/3/22,1.8466,1.8331,1.8502,1.8267,0.76%
2004/3/23,1.8498,1.8474,1.8539,1.8406,0.17%
2004/3/24,1.824,1.8495,1.8542,1.8222,-1.39%
2004/3/25,1.8073,1.8251,1.8265,1.799,-0.92%
2004/3/26,1.8157,1.8079,1.8239,1.8003,0.46%
2004/3/29,1.819,1.8131,1.8228,1.8062,0.18%
2004/3/30,1.8262,1.8192,1.8304,1.8175,0.40%
2004/3/31,1.8458,1.8266,1.8464,1.825,1.07%
2004/4/1,1.8571,1.8453,1.8607,1.838,0.61%
2004/4/2,1.8317,1.8572,1.8578,1.8261,-1.37%
2004/4/5,1.8203,1.8289,1.8308,1.8104,-0.62%
