date,value_left,value_right,value_left,value_right,value_left,value_right,value_left,value_right,value_left,value_right,value
736484,508147332.7248,498882269.35,770201191.9376,487929853.1134,514507367.7986,479472949.3752,519600878.4152,462048842.7416,527803342.1256,479638382.8993,448100660.4672
736485,507546856.4888,498316999.4837,769599712.5356,487382585.9459,513907004.4342,479038134.3336,518509573.2679,461507326.4398,527224109.0218,478979105.4662,447694116.6604
736487,508429960.7623,499185077.255,769935675.9028,488179605.1006,514698155.2748,479597830.6331,519657732.0963,463369368.5423,527238141.4214,480434513.6403,448307984.2386
736488,511763947.1848,502582420.3641,773312090.3506,491387588.0435,518535819.6654,483733395.7779,523434350.0125,466598019.7622,530789338.5828,483615984.5211,451303643.2755
736489,514520546.3103,505264512.5353,775957016.1072,493595802.5854,521801685.6318,486683997.3646,526146288.0822,469159409.4789,533544880.4958,486068586.0678,453957357.0298
736490,510396104.1375,501264479.6451,772619922.7508,491597233.0601,517314025.3068,483552830.7443,523218936.8314,465366713.8007,529083354.7597,482142660.4984,450323662.4509
736491,504835875.5719,495822170.9038,765532292.8818,488620350.207,510759863.4911,478986800.9116,518865903.8095,460248443.9052,523483068.483,476872021.5953,445246259.885
736494,502436872.4341,493423604.4645,761756916.902,486904926.5667,507613255.1523,476911053.2292,516856831.0085,457986156.7678,521176025.1329,474436717.5642,443440161.6084
736495,499530925.7902,490575843.1041,757775911.4434,485390270.0098,504349662.0261,474516231.1372,514625148.5631,455300424.5421,518292083.0222,471796070.2599,440688854.0923
736496,502258837.1139,493261394.568,760847735.9274,487173420.7478,507919549.3578,477337559.0856,516877394.7432,457719881.8568,520959469.9706,474467210.1674,443068853.7603
736497,500275482.5303,491207823.5519,758493699.1717,485600305.8439,504675881.3849,475238975.2459,514935698.5247,455951515.9111,518936050.8286,472465816.4601,441520296.0265
736498,502363269.9044,493299406.5085,760709279.9017,486976902.9716,506991461.626,477345450.1934,516542150.0429,457893747.5923,521207626.4038,474340784.3458,443482610.6149
736501,505842204.2733,496767295.1567,766488772.9623,489191590.0006,511385306.2471,481310928.5565,519230130.9676,461101598.6794,524555621.8696,477614646.8,446655000.0895
736502,506149132.9722,496999885.2475,768711509.1325,488994234.6199,511851282.8864,481643434.1977,519383162.0448,461335409.8874,524559398.3396,478079623.4309,446671289.1264
736503,509977791.5171,500859709.5854,772871474.9282,492141098.5329,517150399.3229,486007113.9411,522765008.3865,464773831.8546,528575655.5244,481751414.8323,450091410.6143
736504,514160228.4203,504923995.2055,778112136.9581,494645012.5409,521314423.8049,489974368.7399,526263450.7407,468595891.7943,532619348.5971,485893416.1744,453589927.1798
736505,496676539.5033,487839446.2376,755668003.1308,479115229.6958,502604167.5306,473329167.6974,511746949.3061,452381897.6737,514989776.8968,467863146.6401,438760102.9506
736508,492167966.3036,483595940.8428,749766843.8657,475320265.7479,495803499.4766,467758058.0416,507987991.5009,448341096.069,510133803.4788,463385239.9603,434684812.9971
736509,498387529.2057,489456919.6498,759476439.054,480397260.9082,502159899.8602,475003202.232,514221690.2002,453957223.167,517072578.3712,468852224.425,440183712.5019
736510,503128788.8225,494049914.3794,767863130.0628,484193782.6617,507073172.046,480683401.4226,518576895.8382,458292318.3475,522402389.6079,473091282.7743,444457527.9756
736511,503237283.644,494121871.8427,768676415.8844,484200745.7442,507162276.0516,480661697.5132,518715122.1929,458446568.661,522528861.2507,473245173.998,444506883.5334
736512,502887881.4057,493709440.6334,770042272.2556,483671677.1909,506705347.3681,480140484.6969,518027615.9739,458171709.7589,522100639.3093,472840447.3551,444338468.4889
736515,503695397.6265,494415394.8225,771173097.7427,484184700.6693,507529256.033,480709803.4263,518538850.8272,458881631.0584,522905038.3064,473610822.847,445230917.9836
736516,500011995.6969,490948539.5677,764341120.1293,481436700.6193,503713371.5943,476513346.2428,514906595.679,455528415.2353,518811989.8126,470264991.3181,441905291.986
736517,498701838.3042,489620004.5903,762860117.4121,480375120.5383,502283368.806,474907561.5453,513665641.3292,454388123.2586,517308813.5522,469104897.7435,440784185.1122
736518,499175406.9941,490183829.9713,763368931.0464,480998187.6205,502851567.1599,475428825.8589,514035391.2567,454797869.4351,517746793.1134,469722545.1921,441333216.7776
736519,502812363.3508,493723659.2717,767553288.7607,484070493.6034,506640216.1303,479838650.4329,517811248.4689,458142106.1704,521924587.9935,472914171.1581,444628062.3996
736522,500999359.5878,491942962.6041,768282721.688,482707248.5526,504922244.856,478376191.5967,516856765.9689,456391028.67,519976596.2981,471332110.7973,442489489.5459
